"Rank","Year","Artist","artist_name","Track","track_name","track_number","disc_number","album_name","album_type","artist_id","track_id","album_release_date","album_release_year","duration_ms","danceability","energy","key","key_name","key_mode","mode","mode_name","time_signature","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
2,2020,"maren morris","maren morris","the bones","the bones",12,1,"GIRL","album","6WY7D3jk8zTrHtmkqqo5GI","7yFhA2fUsL2oIMWlw5DaHQ","2019-03-08",2019,197293,0.612,0.57,11,"B","B minor",0,"minor",4,-6.642,0.0347,0.278,0,0.0963,0.334,77.002
3,2002,"george strait","george strait","living and living well","living and living well",4,1,"The Road Less Traveled","album","5vngPClqofybhPERIqQMYd","3YxKqZFpcxBPvpUssL8FS2","2001-01-01",2001,218306,0.602,0.683,1,"C#","C# major",1,"major",4,-6.82,0.0304,0.347,0.00338,0.11,0.522,120.787
3,2003,"mark wills","mark wills","19 somethin","19 somethin",16,1,"Live At Billy Bob's Texas","album","0dlwjJe4kg9TgOMN184bJF","4oY6CUpxOmphOuVSs5jScY","2005-06-14",2005,326060,0.36,0.71,4,"E","E major",1,"major",4,-12.524,0.0606,0.1,4.44e-06,0.884,0.523,184.084
3,2004,"keith urban","keith urban","youll think of me","youll think of me",1,1,"You'll Think Of Me","single","0u2FHSq3ln94y5Q57xazwf","3OwnWvOIPMZTBCECERa8NH","2005-01-01",2005,232656,0.576,0.616,2,"D","D major",1,"major",4,-7.251,0.0313,0.282,4.5e-05,0.158,0.343,82.875
3,2005,"rascal flatts","rascal flatts","bless the broken road","bless the broken road",2,1,"Feels Like Today","album","0a1gHP0HAqALbEyxaD5Ngn","0gKo3I4FCEY40X37Gdkcaf","2004",2004,227186,0.588,0.446,0,"C","C major",1,"major",4,-6.367,0.0266,0.669,1.86e-05,0.134,0.38,135.949
3,2006,"kenny chesney","kenny chesney","summertime","summertime",5,1,"The Road And The Radio","album","3grHWM9bx2E9vwJCdlRv9O","3cE5ltZFHmBpiS77itKaOM","2005-11-07",2005,206586,0.48,0.928,4,"E","E major",1,"major",4,-5.501,0.0899,0.169,0,0.0479,0.713,167.986
3,2007,"kenny chesney","kenny chesney","never wanted nothing more","never wanted nothing more",1,1,"Just Who I Am: Poets & Pirates","album","3grHWM9bx2E9vwJCdlRv9O","6CcuqD9yqaQ2dpNbNjHrQq","2007-09-07",2007,208560,0.528,0.745,7,"G","G major",1,"major",4,-7.683,0.0539,0.0424,1.68e-05,0.257,0.784,177.835
3,2008,"alan jackson","alan jackson","small town southern man","small town southern man",1,1,"Small Town Southern Man","single","4mxWe1mtYIYfP040G38yvS","3Lr2tsnqMJfMublqotCC7h","2007-12-18",2007,280080,0.677,0.445,3,"D#","D# major",1,"major",4,-12.961,0.026,0.105,5.4e-05,0.214,0.508,133.022
3,2009,"randy houser","randy houser","boots on","boots on",1,1,"Anything Goes","album","56x8mYvS3cyDGAi8N2FxbB","5LMeF39KDNeEIXaQVaS90b","2008-01-01",2008,170813,0.713,0.887,8,"G#","G# major",1,"major",4,-4.564,0.0322,0.0387,1.79e-05,0.273,0.88,112.016
3,2010,"josh turner","josh turner","why dont we just dance","why dont we just dance",1,1,"Haywire","album","7vCtweS8UVAXTyau2j0rDT","2p07VcUwRZ5sru3mJ0JogS","2010",2010,192800,0.677,0.776,5,"F","F major",1,"major",4,-5.933,0.0386,0.42,0.000689,0.0954,0.642,121.834
3,2011,"rodney atkins","rodney atkins","take a back road","take a back road",1,1,"Take A Back Road","album","2qgvmDsc4jrqbAbjq1HGM2","7B6m8tHAYZsOKOKMU5SR2n","2011-10-04",2011,209426,0.581,0.856,3,"D#","D# major",1,"major",4,-4,0.0783,0.183,0,0.0871,0.918,169.902
3,2012,"jana kramer","jana kramer","why ya wanna","why ya wanna",3,1,"Jana Kramer","album","2PaRhxWFaqCUZybJDDoNrf","08f0fHqZigPgPHCfRjk8SC","2012-06-01",2012,221373,0.299,0.676,4,"E","E major",1,"major",3,-3.187,0.051,0.273,0,0.113,0.298,167.498
3,2013,"blake shelton featuring pistol annies  friends","blake shelton","boys round here","boys round here  stadium dance mix",1,1,"Boys 'Round Here (Stadium Dance Mix)","single","1UTPBmNbXNTittyMJrNkvw","5LwovomzSD5v7S6iRsgYOS","2013-10-25",2013,339346,0.567,0.939,2,"D","D major",1,"major",4,-2.87,0.0747,0.0093,5.39e-05,0.214,0.688,169.96
3,2014,"florida georgia line","florida georgia line","dirt","dirt",4,1,"Anything Goes","album","3b8QkneNDz4JHKKKlLgYZg","39WoJKymjyPlAiRs3QfPU7","2014-10-14",2014,230586,0.547,0.878,2,"D","D major",1,"major",4,-4.224,0.0451,0.0638,7.08e-06,0.106,0.592,121.973
3,2015,"sam hunt","sam hunt","house party","house party",3,1,"X2C","single","2kucQ9jQwuD8jWdtR9Ef38","6kz5q7mFTf7MWTHS4reTpr","2014-08-12",2014,190240,0.746,0.86,8,"G#","G# major",1,"major",4,-5.238,0.0522,0.12,0,0.0298,0.874,103.961
3,2016,"tim mcgraw","tim mcgraw","humble and kind","humble and kind",11,1,"Damn Country Music (Deluxe Edition)","album","6roFdX1y5BYSbp60OTJWMd","1qosWrKxri24ZIzH4ZDFcp","2015-01-01",2015,257346,0.476,0.48,11,"B","B major",1,"major",3,-7.31,0.026,0.675,2.45e-06,0.122,0.148,151.478
3,2017,"luke combs","luke combs","hurricane","hurricane",5,1,"This One's for You","album","718COspgdWOnwOFpJHRZHS","6xHI9KjUjYT0FPtGO8Mxa1","2017-06-02",2017,222533,0.464,0.813,10,"A#","A# major",1,"major",4,-6.185,0.0416,0.0153,0,0.254,0.515,75.977
